site,division,category,line,model_name,recipe_group,uniqueid,product_code,model_complete,char_name,char_time,char_value
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,non_value_operating_time,2023-02-11 10:19:25,3560.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,non_value_operating_time,2023-02-11 20:49:30,300.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,non_value_operating_time,2023-02-12 04:28:05,190.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,non_value_operating_time,2023-02-12 07:41:10,140.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,non_value_operating_time,2023-02-12 15:19:00,640.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,non_value_operating_time,2023-02-12 19:51:25,115.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,non_value_operating_time,2023-02-12 23:15:40,110.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,non_value_operating_time,2023-02-13 03:05:20,110.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,non_value_operating_time,2023-02-13 06:09:20,110.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,non_value_operating_time,2023-02-13 13:30:15,24865.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,non_value_operating_time,2023-02-13 22:33:35,0.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,non_value_operating_time,2023-02-14 03:33:55,0.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_1.Inicio.duration,2023-02-11 08:16:15,10.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_1.Inicio.duration,2023-02-11 11:18:45,335.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_1.Inicio.duration,2023-02-11 20:54:30,115.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_1.Inicio.duration,2023-02-12 04:31:15,40.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_1.Inicio.duration,2023-02-12 07:43:30,115.0
Amera,HomeEssentials,FabricConditioner,MX-FB-03,MX-FB-Visc_pred_v0.14,UNDEFINED,44168,None,COMPLETE,phase_1.Inicio.duration,2023-02-12 15:29:40,20.0
