Batch_ID,Phase_Number_Name_Metric,Day_Time,Phase_Values_in_Seconds,Day,Hour,Number_of_Phase,Name_of_Phase,Phase_Values_in_Minutes
44168,Phase_0_Duration_OperatingTime,2023-02-11 10:19:25,3560.0,2023-02-11,10,0,OperatingTime,59.333333333333336
44168,Phase_0_Duration_OperatingTime,2023-02-11 20:49:30,300.0,2023-02-11,20,0,OperatingTime,5.0
44168,Phase_0_Duration_OperatingTime,2023-02-12 04:28:05,190.0,2023-02-12,04,0,OperatingTime,3.1666666666666665
44168,Phase_0_Duration_OperatingTime,2023-02-12 07:41:10,140.0,2023-02-12,07,0,OperatingTime,2.3333333333333335
44168,Phase_0_Duration_OperatingTime,2023-02-12 15:19:00,640.0,2023-02-12,15,0,OperatingTime,10.666666666666666
44168,Phase_0_Duration_OperatingTime,2023-02-12 19:51:25,115.0,2023-02-12,19,0,OperatingTime,1.9166666666666667
44168,Phase_0_Duration_OperatingTime,2023-02-12 23:15:40,110.0,2023-02-12,23,0,OperatingTime,1.8333333333333333
44168,Phase_0_Duration_OperatingTime,2023-02-13 03:05:20,110.0,2023-02-13,03,0,OperatingTime,1.8333333333333333
44168,Phase_0_Duration_OperatingTime,2023-02-13 06:09:20,110.0,2023-02-13,06,0,OperatingTime,1.8333333333333333
44168,Phase_0_Duration_OperatingTime,2023-02-13 13:30:15,24865.0,2023-02-13,13,0,OperatingTime,414.4166666666667
44168,Phase_0_Duration_OperatingTime,2023-02-13 22:33:35,0.0,2023-02-13,22,0,OperatingTime,0.0
44168,Phase_0_Duration_OperatingTime,2023-02-14 03:33:55,0.0,2023-02-14,03,0,OperatingTime,0.0
44168,Phase_1_Duration_Inicio,2023-02-11 08:16:15,10.0,2023-02-11,08,1,Inicio,0.16666666666666666
44168,Phase_1_Duration_Inicio,2023-02-11 11:18:45,335.0,2023-02-11,11,1,Inicio,5.583333333333333
44168,Phase_1_Duration_Inicio,2023-02-11 20:54:30,115.0,2023-02-11,20,1,Inicio,1.9166666666666667
44168,Phase_1_Duration_Inicio,2023-02-12 04:31:15,40.0,2023-02-12,04,1,Inicio,0.6666666666666666
44168,Phase_1_Duration_Inicio,2023-02-12 07:43:30,115.0,2023-02-12,07,1,Inicio,1.9166666666666667
44168,Phase_1_Duration_Inicio,2023-02-12 15:29:40,20.0,2023-02-12,15,1,Inicio,0.3333333333333333
44168,Phase_1_Duration_Inicio,2023-02-12 19:53:20,120.0,2023-02-12,19,1,Inicio,2.0
44168,Phase_1_Duration_Inicio,2023-02-12 23:17:30,120.0,2023-02-12,23,1,Inicio,2.0
44168,Phase_1_Duration_Inicio,2023-02-13 03:07:10,120.0,2023-02-13,03,1,Inicio,2.0
44168,Phase_1_Duration_Inicio,2023-02-13 06:11:10,115.0,2023-02-13,06,1,Inicio,1.9166666666666667
